-a,Finaĵo (lingvoscience: sufikso) markanta la vorton kiel adjektivon:
a,"La unua litero, de la Esperanta alfabeto: A (minuskle a) estas la unua litero de la latina alfabeto, kaj de preskaŭ ĉiuj alfabetoj devenintaj de la latina, inkluzive de la esperanta alfabeto Viki A ; cetere unu el la kvin vokaloj; kaj uzata i.a. kiel:"
"aBC, aboco","Latina alfabeto: ni devas lerni legi, kaj ni ne scias ankoraŭ la BC PatrojFiloj VI ; ni klasifikis fakan literaturon laŭ boco Kon11 La unua kaj mojosa. ĈeSKEJ! ; [li] verkis la novajn bocoajn versojn, kiuj kuŝas tie disĵetite Fab4 Abocolibro ."
abaĵuro,"Lumŝirmilo: en milda lumo de ruĝa o staras ŝirmite de vestoŝranko viro P. Kuusberg, trad. A. Lekko, Somermeze, 1981 ."
abako,Supera plata parto de kolona kapitelo.
abandoni,"Cedi asekuritan objekton aŭ tion, kio restis de ĝi post difektiĝo al la asekuristo kontraŭ postulo de la asekurita monsumo."
abandono,Ago i: mencii rajton pri o PIV2.
Abaso,"Vira antaŭnomo arabdevena (laŭvorte severa, malserena), uzata precipe en la islama mondo: la Moskeo de la Ŝaho […] estis konstruita por la suverenulo de la safavidoj, la ŝaho o la Granda, inter 1612 kaj 1630 Viki Moskeo de la Ŝaho ;"
Abasido,"Ano de la dua dinastio da ĥalifoj (749 – 1298), rektaj posteuloj de o la onklo de Muhamado: en 750 la idoj rompis en la batalo de la granda rivero Zab en Nordirako la lastan reziston de la umajadoj sub la kalifo Marvano la 2-a Viki Abasida Revolucio ."
abato,"Monaĥejestro de ejo: en tiu ĉi minuto preteriras la o de la monaĥejo FK ; ekfloris okcidente Volapük de l' o Ŝlejer el Konstanco VivZam ; MacRegol estis o de la monaĥejo de Birr, kiu mortis en 822 Monato Garbhan MacAoidh Ornamitaj manuskriptoj ."
abatino,Monaĥinejestrino de inejo: en la jaro 1136 la ino de la monaĥinejo mortis kaj Hildegard transprenis ties taskojn Viki Hildegard de Bingen .
abatejo,"Cenobita monaĥejo, aŭtonoma, laŭkanone fondita kaj oficialigita, en kiu membras almenaŭ 12 monaĥoj: ekzistas nur 6 ejoj, kiuj solaj en la mondo rajtas produkti trapistan bieron Lode Van de Velde Bierlando Belgio Monato 2001/01, p. 18 ; vizitindas deko da cisterciaj kaj benediktaj ejoj, kiujn la historio postlasis Monato Marc Gassion Aude ; la koron de la forpasinto oni entombigis en Hungario, en la ejo Pannonhalma Monato Evgeni Georgiev Forpasas granda eŭropano ."
abatinejo,"Cenobita monaĥinejo, aŭtonoma, laŭkanone fondita kaj oficialigita, en kiu membras almenaŭ 12 monaĥinoj: la Preĝejo de Sankta Mikaelo, de la 12-a jarcento, kun proksima benedikta inejo, rekonstruiĝis en la 17-a jarcento laŭ la baroka stilo Viki Mazara del Vallo ."
abdiki,"Eksiĝi, rezigni pri plej supera potenco aŭ rango: devigita i de la trono, Ulugbek estis sendita al haĝo kaj samtempe oni organizis juĝadon, dum kiu li estis mortkondamnita Monato Vitalij kaj Anatolij Ionesov Mirzo Ulugbek: granda reĝo de astronomio 2010 ; La regnestraj zorgoj min jam tro lacigas, ⫽ Do kun kor' facila ilin mi as S. Petőfi, trad. K. Kalocsay, Johano la brava, 1984 ; du jarojn poste is dua germana prezidanto Monato Jomo Ipfelkofer Perditaj prezidantoj 2012 ."
abdiko,"Ago i: o de Napoleono LOdE 2000, No 6 (68) ; en daŭre nestabila Ukrainio la opozicio postulis on de la prezidanto Monato Stefan Maul Nova mizero 2009 ."
abdomeno,"Parto de la korpo, inter la torako kaj la pelvo, kiu entenas la intestojn: la graso, kiu situas ĉirkaŭ la visceroj de la o Roberto Pigro Atentu la koron Monato 2003/12, p. 14 ; vi havas nur aeron en la o KrB Facila vento ; en la ingvenoj, sur la o, en la akseloj sidis dikaj tabanoj suĉante la flavan, nudan korpon MkM 16 ."
abdomena,"Rilata al la o: [li] enŝovis en sin la ventrajn muskolojn tiel forte, ke ŝajnis, kvazaŭ la a haŭto baldaŭ tuŝos la lumban ChM 3 ."
